block_num,tx_hash,from,to,detect_time,attack_signals,selector,has_asset_impact
25737623,0x0af0bdebe74bae1cad8285ed20779401dbc36d00c64e72f1bd185ee1b858b844,0xcae214dcc97572152a667d7c9c06b39d7790efea,0xacddac6c77318b615f7f6fb9bb67c6833e9c05f1,2026-08-12T16:15:00,large_erc20_asset_flow;complex_trace,0x571d3dc7,true
25737623,0xa66532ca9ac5ecb9f896a218b16fa6839c68ced463544371c84f1221e4a5a629,0x5b43453fce04b92e190f391a83136bfbecedefd1,0xbdb3ba9ffe392549e1f8658dd2630c141fdf47b6,2026-08-12T16:15:00,dense_internal_fund_flow;complex_trace;high_gas_used_context;token_activity_burst,0x000000c3,true
25737623,0xe699d0ad6b17977ebaae660a2e3a4691e4f159134ef3ea70e379332fc4e6c815,0x13b5f7c38da2f6d22c48b69feadab8bf2397bfe6,0xcec1caa28ebc876d0883a0c492831e06e167b8b3,2026-08-12T16:15:00,selfdestruct_context,0xf3fef3a3,false
25737623,0x04a009e1b832d5696a95ce4b407402d0658baada11e2f280bc5cb5c0c05c2864,0x59aab1bd0d26290274398c07b55955c15425e16b,0x00fe78205f5f0e63b8ad2b2ae5337f538a610e04,2026-08-12T16:15:03,complex_trace;high_gas_used_context,0x34fcd5be,false
25737623,0x18f6b80b92448482ad18f7cc9852a1495d39d7df1f85690029958601d89cc5f4,0x58d8fab84c2bd602e3f22cb03c204abff333563a,0x7156b23feaf295e109d69148665bff737809cea4,2026-08-12T16:15:03,dense_internal_fund_flow,0x4a25d94a,true
25737623,0x5fa8747d17673fb5a86ce39ee71a1d5f25933756ca2963c851ea43b4a02d09ba,0x1584a8ee67789d1fe161065388657ad2f2a3c7dd,0x77eb52e44db06777bce478159f25c0d55a295314,2026-08-12T16:15:03,repeated_internal_token_drain;dense_internal_fund_flow;complex_trace;token_activity_burst;repeated_risky_internal_calls,0xa9059cbb,true
25737623,0x6026084f0dafe426315832b4054ebfa63742226c5af27dfd0a490020c62ae6b9,0x09cfee647fa339133380191c8db6b44f24500c9d,0x77b85afbcd336993ac1c65057531c5a5b33b76b8,2026-08-12T16:15:03,high_gas_used_context;token_activity_burst,0xa9059cbb,false
25737623,0x978b5d2302620de9c69fb563b63c0f689d6537045f241c7e03d93a160fc8dad1,0x7830c87c02e56aff27fa8ab1241711331fa86f43,0xa9d1e08c7793af67e9d92fe308d5697fb81d3e43,2026-08-12T16:15:03,large_erc20_asset_flow;token_activity_burst,0xca350aa6,true
25737623,0xa4eb42ba8f031a202fa3ecacb63d982f8e1af2cf509b7606cc662fb9e7fd2576,0x6c45b0a56a451a86f67e65ffb090bcde940933cf,0x91ff8bbd8ebb07893010d50a48a1609e5ebd8e34,2026-08-12T16:15:03,complex_trace;high_gas_used_context,0x069d1525,false
25737623,0xcbfbde96f65a43bf3bb94826703c4f7c27fdde23e5d4b790b3bf321ad4cb20e6,0x59aab1bd0d26290274398c07b55955c15425e16b,0x00fe78205f5f0e63b8ad2b2ae5337f538a610e04,2026-08-12T16:15:03,complex_trace;high_gas_used_context,0x34fcd5be,false
