block_num,tx_hash,from,to,detect_time,attack_signals,selector,has_asset_impact
25939214,0x1606fff2e04b8310ad6fa895afe939c570e16ffc37183e095182a367eec36178,0xdadb0d80178819f2319190d340ce9a924f783711,0xfeeeeee44046c3f61a8cc081e0918ef0de0a7ffc,2026-09-09T19:00:10,selfdestruct_context,0x6aa1348b,true
25939214,0x38f1bc4f0842b031388d0a60f83d5b177bbbdea598ba6eda4c619b606abde9cf,0xdadb0d80178819f2319190d340ce9a924f783711,0xfeeeeee44046c3f61a8cc081e0918ef0de0a7ffc,2026-09-09T19:00:10,selfdestruct_context,0x6aa1348b,true
25939215,0x14620c12b3da27bcc2d1d75950a0bff1381b5d10dcbc14abe969bc5672ba3b32,0x09cfee647fa339133380191c8db6b44f24500c9d,0x0ca8e8d976df3321f6ff0a8cca96536a51565c81,2026-09-09T19:00:45,high_gas_used_context;token_activity_burst,0xa9059cbb,false
25939215,0x7e803031cafe20b2e33d7aa038758ce2d636edd9a33e536213bf9191135f07a5,0x76dfa069f33bbdf111e5b83a360c751cdf06cda1,0xea51075ccbd58174834da36372b0ed52199c483c,2026-09-09T19:00:45,large_erc20_asset_flow;very_complex_trace;high_gas_used_context,0x21f515c1,true
25939215,0xd5400e66335f89fb137feb5a8e0e24d86190c7ec91c209a1c9ff622bfce9776e,0xe4faaa80ccf723976655c1815386d1b13303cc64,0x00000002a22b28512cf6e221e0c94259d7132ee9,2026-09-09T19:00:45,dense_internal_fund_flow;complex_trace;high_gas_used_context,0x69ae7873,true
25939215,0xdc53a26662bde5cc09c943a85ca77cce50198c1208761a3abfe15167a6f2dc0d,0x09cfee647fa339133380191c8db6b44f24500c9d,0x0ca8e8d976df3321f6ff0a8cca96536a51565c81,2026-09-09T19:00:45,high_gas_used_context;token_activity_burst,0xa9059cbb,false
25939215,0x148e5f50191f557c9e4d5d10a456abbf74b5c2e9fe0df84e8085aa1e72a909c4,0xec578b911f3789e62101ac45bdae4ca6a2aa8df7,0x91ff8bbd8ebb07893010d50a48a1609e5ebd8e34,2026-09-09T19:00:46,complex_trace;high_gas_used_context,0x069d1525,false
25939215,0x2be39ad960bff1e4bc835ac9480fa38913f1f8ef44a62f63ef249f3be4f3e99b,0x004b38217d000000001e4f000034a6f30026bf1c,0x009a8dbad7000f0000009b002d050058ca881b57,2026-09-09T19:00:47,large_erc20_asset_flow;complex_trace;token_activity_burst,0x010307c5,true
25939215,0x1ddd795a12aa8565a150567a2c79104a2415f2236559d8c001e8034564815f7f,0x3cfdc212769c890907bce93d3d8c2c53de6a7a89,0x0000000071727de22e5e9d8baf0edac6f37da032,2026-09-09T19:00:49,privileged_execution_context;complex_trace,0x765e827f,false
25939215,0x973e0727e56294e62685f584087a2f8517d8ac6c4dd56f842ed9f1b0f8d6e11e,0xf88e4e3db8ca35ebfd41076ec4bad483c9c4f805,0xfa86aa141e45da5183b42792d99dede3d26ec515,2026-09-09T19:00:49,complex_trace;high_gas_used_context;token_activity_burst,0x04117561,false
25939215,0xcae4582a147237cb29f807c40b14521233171b7c0c6b6839ecd5acc1974ab66f,0xe91bcae4a2d7b951304695f93cf1b9a1837cfe43,0x7ec8a30a34b86927dc77b302603d1d53e640bef7,2026-09-09T19:00:49,repeated_internal_token_drain;dense_internal_fund_flow;complex_trace;high_gas_used_context;token_activity_burst;repeated_risky_internal_calls,0xa9059cbb,true
25939215,0xeadcc52a01cba4f3d0691657dee11c210948bfe75e0705ba498a6cb1c9c3e75f,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0xfeeeeee44046c3f61a8cc081e0918ef0de0a7ffc,2026-09-09T19:00:49,selfdestruct_context,0x6aa13497,true
25939215,0xf351e5f03edc341fb0f6233d7ef6d6e7259432fbaa81328638b2ffbcf8975639,0xd6434d157f254276d69ede3bd9fc805482206908,0x7ec8a30a34b86927dc77b302603d1d53e640bef7,2026-09-09T19:00:49,repeated_internal_token_drain;dense_internal_fund_flow;complex_trace;high_gas_used_context;token_activity_burst;repeated_risky_internal_calls,0xa9059cbb,true
25939216,0x5c4d3f9094825dac21fcb9395d04da4f066b7dadadec0557babfb22bef0ce3b2,0x790eaae1297b4f36c32241de018dd4e9bc8002b6,0x017272088ba6d435ec780c1066a397afb001f4ea,2026-09-09T19:01:51,dense_internal_fund_flow;complex_trace,0x48c89491,true
25939216,0xf16c3128c55ad5de98db532e9691994822ab364c4d8c377a18b2976923a7bf12,0xe4faaa80ccf723976655c1815386d1b13303cc64,0x00000002a22b28512cf6e221e0c94259d7132ee9,2026-09-09T19:01:51,dense_internal_fund_flow;complex_trace;high_gas_used_context,0x69ae7873,true
25939216,0x1b2be7587f14f26ad2e81b39fdb12114da73b396666b7eba570ab61140d3634f,0x71f417ac065e284409cb36383094a68ebcbbeeca,0x8feab81d36e7576107d5de0758c1b839be31b4f6,2026-09-09T19:01:53,complex_trace;high_gas_used_context;token_activity_burst,0x0c307f76,true
25939216,0x2becd6f8ce97b0d5cffc25793d7ea17ab056be8fd46be12588cd50a6cff3bbaa,0xf70da97812cb96acdf810712aa562db8dfa3dbef,0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,2026-09-09T19:01:53,dense_internal_fund_flow;complex_trace,0x0a2b8f36,true
25939216,0x866ecabc02ef4c608297d3bfa591ee71f25d2a0bc9f7fc7443cad77d0a735b4b,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0xfeeeeee44046c3f61a8cc081e0918ef0de0a7ffc,2026-09-09T19:01:53,selfdestruct_context,0x6aa134a3,true
25939216,0x9de188d4a7f6fdcdf7381bb8d7b35fcb417d204f9f170ff7ace5e703480bf3ca,0xa37a16127ce0f5382cbabe7723ed53d60cc8e878,0x8feab81d36e7576107d5de0758c1b839be31b4f6,2026-09-09T19:01:53,large_erc20_asset_flow;complex_trace,0x0c307f76,true
25939216,0xa0d3cc6e610f7a4b88b94bf555a4a0d7144bb8af18fcdb4614f365fb7fcb8827,0x3cfdc212769c890907bce93d3d8c2c53de6a7a89,0x0000000071727de22e5e9d8baf0edac6f37da032,2026-09-09T19:01:53,privileged_execution_context;complex_trace,0x765e827f,false
25939217,0x3de50985d20eee747c03d30c368ad30dfdb43c5caadf3dca5a9915d33cadfe5a,0x0260d0fb2a3c49bad3516ccfa377cd5fde78aba5,0x4a22f15d811a26ac292c8123274d3b31ddebb979,2026-09-09T19:01:56,dense_internal_fund_flow;complex_trace,0x48d0e804,true
25939217,0x6e1d1c1abbfd1ee3c3ef0bb535f5bd25ac11db63e58d275805f3bcd13c00d403,0xe4faaa80ccf723976655c1815386d1b13303cc64,0x00000002a22b28512cf6e221e0c94259d7132ee9,2026-09-09T19:01:56,dense_internal_fund_flow;complex_trace;high_gas_used_context,0x69ae7873,true
25939217,0x9b7853fdaf273b1cd57f7befb7c7e964c28a4d118810539ab14b39d87b1a6360,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0xfeeeeee44046c3f61a8cc081e0918ef0de0a7ffc,2026-09-09T19:01:56,selfdestruct_context,0x6aa134af,true
25939217,0xaa15f44b442900544dfd5c13e952cca860fa312d980ab486ae471b8862e51c33,0xaaa0bf2e340c2125603b8ffd4ec30faea08effff,0xfc741c4258aaa097b281fecfb4ef9c012fa73db0,2026-09-09T19:01:57,large_erc20_asset_flow;complex_trace,0x83a77413,true
25939217,0x067298856bad290f056ac6529f317103d1ab317c430b672ffa3fd5abb8bd9b90,0x8ba67e55bae36951cc2791ac25daf53b5ec2aa8e,0xb300000b72deaeb607a12d5f54773d1c19c7028d,2026-09-09T19:02:16,dense_internal_fund_flow;complex_trace;high_gas_used_context,0x810c705b,true
25939217,0x434c759f27f157528d87a5e52855d9f68731d75de81095d77e71709af4945d58,0x4337015333e7c8a3c5af4acd2c4aa4befb0d663c,0x4337084d9e255ff0702461cf8895ce9e3b5ff108,2026-09-09T19:02:59,very_complex_trace;high_gas_used_context,0x765e827f,false
25939217,0x55b3fffe29b42e41655dab6886c4a168c8b5c25c22f8dbf457bee98e2f5b1acf,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0xfeeeeee44046c3f61a8cc081e0918ef0de0a7ffc,2026-09-09T19:02:59,selfdestruct_context,0x6aa134af,true
25939217,0x6cac4a0389953eedd52e50ab738510a593f0cdb7bbd12bb768857b8104278c17,0xec578b911f3789e62101ac45bdae4ca6a2aa8df7,0x91ff8bbd8ebb07893010d50a48a1609e5ebd8e34,2026-09-09T19:02:59,complex_trace;high_gas_used_context,0x069d1525,false
25939218,0x68f07a6509bd45e812f9c6450b286db99a1399ea098ed3275b4791589899490f,0xe4faaa80ccf723976655c1815386d1b13303cc64,0x00000002a22b28512cf6e221e0c94259d7132ee9,2026-09-09T19:03:03,dense_internal_fund_flow;complex_trace;high_gas_used_context,0x69ae7873,true
25939218,0x07fe047092a1ee01999638e723fccc4a0992179152d648195c20646631f749a1,0x3434f3f6ae6872bc6c3fcb25f5dd0cda0e179e51,0x3fc29836e84e471a053d2d9e80494a867d670ead,2026-09-09T19:03:04,complex_trace;high_gas_used_context,0x095ea7b3,false
25939218,0x3196626418e1c92dbf3c2ccf6944466c421a7d69ea87cd15cab3d477b18206a8,0xdadb0d80178819f2319190d340ce9a924f783711,0xfeeeeee44046c3f61a8cc081e0918ef0de0a7ffc,2026-09-09T19:03:04,selfdestruct_context,0x6aa134bb,true
25939218,0x3512fd3bcfdfd27383dd97c80fa6f8f9120930c4e93d3c4b170037b974320e54,0xe487832018fbd594c84f1db3dfac61cde98a5f36,0x91ff8bbd8ebb07893010d50a48a1609e5ebd8e34,2026-09-09T19:03:04,complex_trace;high_gas_used_context,0x069d1525,false
25939218,0xa3c9e0b0401ef4c886d1f7ea3b4a7866d3c43f6947a922f3151bdb4a7494a9db,0xdadb0d80178819f2319190d340ce9a924f783711,0xfeeeeee44046c3f61a8cc081e0918ef0de0a7ffc,2026-09-09T19:03:04,selfdestruct_context,0x6aa134bb,true
25939218,0xbf1e0152a35a9c4042ecedc8f4bfb07a9f33ed12fd711c08b74f22a45e5816f1,0x440888714a6afed60ff44e9975a96e6a36f7fac4,0x29f88f308f9fdbdf009e23817adf0e69ef3e88f8,2026-09-09T19:03:04,cyclic_dex_swap_profit;complex_trace,0x48d840ec,true
25939218,0xbf6adb9fe6525a4a6be4111d44f393af3c2852bfe40eeb2db9b405e8c9922eb4,0xa37a16127ce0f5382cbabe7723ed53d60cc8e878,0x8feab81d36e7576107d5de0758c1b839be31b4f6,2026-09-09T19:03:04,dense_internal_fund_flow;large_erc20_asset_flow;complex_trace,0x0c307f76,true
25939219,0x85f176bc1a645e0f3437cd593b10d8bfd1d97b0cc65575bb9429fc793a4b5506,0xe4faaa80ccf723976655c1815386d1b13303cc64,0x00000002a22b28512cf6e221e0c94259d7132ee9,2026-09-09T19:03:07,dense_internal_fund_flow;complex_trace;high_gas_used_context,0x69ae7873,true
25939219,0xb0e214d64d65396bc6c63da2b2b5b2fc5efcd18d56ea00003450ca3ea5115242,0x8ba67e55bae36951cc2791ac25daf53b5ec2aa8e,0xb300000b72deaeb607a12d5f54773d1c19c7028d,2026-09-09T19:03:07,dense_internal_fund_flow;complex_trace;high_gas_used_context,0x810c705b,true
25939219,0xf9bf62ce7cc1c6bf17de8a487d794dca2ffaa7dd7fbce3c16714069dceca1a12,0xc6acbee42e9e323140c1ed060c2f6ea9cc3b4b75,0x7c5a71c9fefbc7691f9d4ac7baf70c743792f716,2026-09-09T19:03:07,selfdestruct_context,0xf3fef3a3,false
25939219,0x21efa83d684058c56bb5db81105c7177ca2ce363d734d8c932740390f2ea4917,0x59aab1bd0d26290274398c07b55955c15425e16b,0x00fe78205f5f0e63b8ad2b2ae5337f538a610e04,2026-09-09T19:03:08,complex_trace;high_gas_used_context;token_activity_burst,0x34fcd5be,false
25939219,0x6eff7b14bf10ce8f4aa3ce61717bcc2d7b110f8af1930038358f31df1457ca86,0x1584a8ee67789d1fe161065388657ad2f2a3c7dd,0x77eb52e44db06777bce478159f25c0d55a295314,2026-09-09T19:03:08,repeated_internal_token_drain;dense_internal_fund_flow;complex_trace;high_gas_used_context;token_activity_burst;repeated_risky_internal_calls,0xa9059cbb,true
25939219,0xb28a004cf56be0f678a7bcc229e5f653d35ebc9ab4f1c48cf40106dafac6674e,0xe487832018fbd594c84f1db3dfac61cde98a5f36,0x91ff8bbd8ebb07893010d50a48a1609e5ebd8e34,2026-09-09T19:03:08,complex_trace;high_gas_used_context,0x069d1525,false
25939219,0xb41af5ac6d19c59f659dec8de57cd0757efbf8441c0ec7b3540ac8eaccb7f655,0x1012f8d1715694101b220749c686d83072f01fab,0x13000c4a215efe7e414bb329b2f11c39bcf92d78,2026-09-09T19:03:08,dense_internal_fund_flow,0x9a408321,true
25939219,0xba16b38e320ea4ef211e709af4a6ef3d2109227af7ee7676ee920cf62d61b566,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0xfeeeeee44046c3f61a8cc081e0918ef0de0a7ffc,2026-09-09T19:03:38,selfdestruct_context,0x6aa134c7,true
25939219,0xbff612d28851ceaca0aa7715e140152ccae87c0f6c9553372c002265ba7aa62b,0xec578b911f3789e62101ac45bdae4ca6a2aa8df7,0x91ff8bbd8ebb07893010d50a48a1609e5ebd8e34,2026-09-09T19:03:38,complex_trace;high_gas_used_context,0x069d1525,false
25939220,0x2c5e419bb1ef1eee2c485bd32f220969dcfe25e9b04f28a8a0d1c0087ea40f66,0x708704d33ace3dafbed28f150a56ce9d124b1ef8,0x214c19fbcdfb683f2c726b4bbaf24ab483bfadf3,2026-09-09T19:03:41,large_erc20_asset_flow;complex_trace,0x1b1062b8,true
25939220,0x7157d5f96ac567faf791ee4fc08c9ffaa9d068fd4ec9de0830a123cfbffc46bf,0xc43261b7414a3f72f6338c13690471ceb73ee74b,0xd90e2f925da726b50c4ed8d0fb90ad053324f31b,2026-09-09T19:03:41,dense_internal_fund_flow,0xb438689f,true
25939220,0x90f94aa82f542a2eb813c67a311bf0ff24ed0a4d070674d84c7c8eb253a9ed3e,0x004b38217d000000001e4f000034a6f30026bf1c,0x009a8dbad7000f0000009b002d050058ca881b57,2026-09-09T19:03:41,large_erc20_asset_flow;complex_trace;token_activity_burst,0x010107c5,true
25939220,0xa4beceff0d2fa915945078781c49587cf473f4af61946dc54ae0e17d880dba6b,0xe487832018fbd594c84f1db3dfac61cde98a5f36,0x91ff8bbd8ebb07893010d50a48a1609e5ebd8e34,2026-09-09T19:03:41,complex_trace;high_gas_used_context,0x069d1525,false
25939220,0xc736c43aa8ba6bdca7d6d694c10d0eb0861d47681e385800589aeee414864e49,0xe4faaa80ccf723976655c1815386d1b13303cc64,0x00000002a22b28512cf6e221e0c94259d7132ee9,2026-09-09T19:03:41,dense_internal_fund_flow;complex_trace;high_gas_used_context,0x69ae7873,true
25939220,0x47d923e97ca1587a9e8082060b13527092ff4bb877bd8d80393698f29c2941a2,0xfb74767c1ce1aada0a0e114441173b57f8c1571b,0xfeeeeee44046c3f61a8cc081e0918ef0de0a7ffc,2026-09-09T19:03:42,selfdestruct_context,0x6aa134d3,true
