block_num,tx_hash,from,to,detect_time,attack_signals,selector,has_asset_impact
25909482,0x6c14f00e469ddb814a26eeab5f6ba90f8f9a23d6ac4ce01cc4a824bdc4ef1013,0x59aab1bd0d26290274398c07b55955c15425e16b,0x00fe78205f5f0e63b8ad2b2ae5337f538a610e04,2026-09-05T15:00:34,complex_trace;high_gas_used_context,0x34fcd5be,false
25909482,0x760571635873409fc06402a0b05074a21e09ea6fdff88f073c415c1fa24b9173,0x4838b106fce9647bdf1e7877bf73ce8b0bad5f97,0xfeeeeee44046c3f61a8cc081e0918ef0de0a7ffc,2026-09-05T15:00:34,selfdestruct_context,0x6a9bbd47,true
25909482,0xae0ccbe0d4fc408030cc73adb3719215db7a7106a74e569c3e73603b4268e5d9,0xd3acc6f78112a97de73f1db3e83b2ab7f27a222a,,2026-09-05T15:00:34,complex_trace;high_gas_used_context;approval_burst;contract_creation_context,0x60808060,false
25909483,0x2daec96ede2bd9031eea9507f52e6292f455cd725560051d7f74154afbbb6e4a,0x43627ed313b783200d7fd4b0622aaf7117700fdc,0x6131b5fae19ea4f9d964eac0408e4408b66337b5,2026-09-05T15:00:35,dense_internal_fund_flow;complex_trace;high_gas_used_context,0xe21fd0e9,true
25909483,0xc0ebd748ff76ff8e5be8a2b92cbc1be33bc7d704699ff4642abe415c1732d726,0xd411d428a63cf4c7029bc53f0e0f56c4933fdbb7,0x6131b5fae19ea4f9d964eac0408e4408b66337b5,2026-09-05T15:00:35,large_erc20_asset_flow;complex_trace,0xe21fd0e9,true
25909483,0x16568dc6ab049bc55cd0d18edddfe6a1e37a95faf1401a5d59c3868442bf8f75,0x59aab1bd0d26290274398c07b55955c15425e16b,0x00fe78205f5f0e63b8ad2b2ae5337f538a610e04,2026-09-05T15:00:36,complex_trace;high_gas_used_context,0x34fcd5be,false
25909483,0x8e2a6c7e33705468bd936084c2f180d51ff5ff5ec0e72b1445b31da7601658d7,0x39f6a6c85d39d5abad8a398310c52e7c374f2ba3,0x21bc354b5a5502df3097e8838eaab5eb0b06aac9,2026-09-05T15:00:36,large_erc20_asset_flow;complex_trace;high_gas_used_context;token_activity_burst,0xaf713566,true
25909484,0x43c0f7a87353b02d5491d2ff4ca65a943325fde998eeae5dcf6bac191d3eff2a,0x70e59f9c304e4d5096bd408b571e2dcd99c3120b,0xad3b67bca8935cb510c8d18bd45f0b94f54a968f,2026-09-05T15:00:39,complex_trace;high_gas_used_context;token_activity_burst;approval_burst,0x146ee74d,false
25909484,0x54fb29cddd7c8d48452278b6c9a34395ee679991d20f1f4cbad90200a0401e54,0x949fcc554c5747179300cd39687d344e66293df8,0xabdf03d7b8548050235685bcbb4c8225dff3aba9,2026-09-05T15:00:39,dense_internal_fund_flow;complex_trace;high_gas_used_context;token_activity_burst,0xa9967a5b,true
25909484,0x9fc2a4168ab89dc8ab968b6b1342fa916b35e3a750fa3112a0dccec407fed688,0xae2fc483527b8ef99eb5d9b44875f005ba1fae13,0x1f2f10d1c40777ae1da742455c65828ff36df387,2026-09-05T15:00:39,dense_internal_fund_flow;large_erc20_asset_flow;complex_trace,0x2bd0a0b8,true
